Date,Location,Results,Layer,Latitude,Longitude
2006-01-01,New Zealand,17.0,Nation,-41.5000831,172.8344077
2006-01-08,New Zealand,10.0,Nation,-41.5000831,172.8344077
2006-01-15,New Zealand,11.0,Nation,-41.5000831,172.8344077
2006-01-22,New Zealand,8.0,Nation,-41.5000831,172.8344077
2006-01-29,New Zealand,8.0,Nation,-41.5000831,172.8344077
2006-02-05,New Zealand,9.0,Nation,-41.5000831,172.8344077
2006-02-12,New Zealand,11.0,Nation,-41.5000831,172.8344077
2006-02-19,New Zealand,9.0,Nation,-41.5000831,172.8344077
2006-02-26,New Zealand,21.0,Nation,-41.5000831,172.8344077
2006-03-05,New Zealand,20.0,Nation,-41.5000831,172.8344077
2006-03-12,New Zealand,14.0,Nation,-41.5000831,172.8344077
2006-03-19,New Zealand,16.0,Nation,-41.5000831,172.8344077
2006-03-26,New Zealand,13.0,Nation,-41.5000831,172.8344077
2006-04-02,New Zealand,18.0,Nation,-41.5000831,172.8344077
2006-04-09,New Zealand,13.0,Nation,-41.5000831,172.8344077
2006-04-16,New Zealand,16.0,Nation,-41.5000831,172.8344077
2006-04-23,New Zealand,14.0,Nation,-41.5000831,172.8344077
2006-04-30,New Zealand,19.0,Nation,-41.5000831,172.8344077
2006-05-07,New Zealand,16.0,Nation,-41.5000831,172.8344077
2006-05-14,New Zealand,21.0,Nation,-41.5000831,172.8344077
2006-05-21,New Zealand,31.0,Nation,-41.5000831,172.8344077
2006-05-28,New Zealand,26.0,Nation,-41.5000831,172.8344077
2006-06-04,New Zealand,36.0,Nation,-41.5000831,172.8344077
2006-06-11,New Zealand,28.0,Nation,-41.5000831,172.8344077
2006-06-18,New Zealand,47.0,Nation,-41.5000831,172.8344077
2006-06-25,New Zealand,80.0,Nation,-41.5000831,172.8344077
2006-07-02,New Zealand,102.0,Nation,-41.5000831,172.8344077
2006-07-09,New Zealand,83.0,Nation,-41.5000831,172.8344077
2006-07-16,New Zealand,55.0,Nation,-41.5000831,172.8344077
2006-07-23,New Zealand,68.0,Nation,-41.5000831,172.8344077
2006-07-30,New Zealand,73.0,Nation,-41.5000831,172.8344077
2006-08-06,New Zealand,59.0,Nation,-41.5000831,172.8344077
2006-08-13,New Zealand,60.0,Nation,-41.5000831,172.8344077
2006-08-20,New Zealand,58.0,Nation,-41.5000831,172.8344077
2006-08-27,New Zealand,54.0,Nation,-41.5000831,172.8344077
2006-09-03,New Zealand,52.0,Nation,-41.5000831,172.8344077
2006-09-10,New Zealand,44.0,Nation,-41.5000831,172.8344077
2006-09-17,New Zealand,35.0,Nation,-41.5000831,172.8344077
2006-09-24,New Zealand,37.0,Nation,-41.5000831,172.8344077
2006-10-01,New Zealand,21.0,Nation,-41.5000831,172.8344077
2006-10-08,New Zealand,13.0,Nation,-41.5000831,172.8344077
2006-10-15,New Zealand,12.0,Nation,-41.5000831,172.8344077
2006-10-22,New Zealand,14.0,Nation,-41.5000831,172.8344077
2006-10-29,New Zealand,21.0,Nation,-41.5000831,172.8344077
2006-11-05,New Zealand,13.0,Nation,-41.5000831,172.8344077
2006-11-12,New Zealand,11.0,Nation,-41.5000831,172.8344077
2006-11-19,New Zealand,15.0,Nation,-41.5000831,172.8344077
2006-11-26,New Zealand,11.0,Nation,-41.5000831,172.8344077
2006-12-03,New Zealand,9.0,Nation,-41.5000831,172.8344077
2006-12-10,New Zealand,6.0,Nation,-41.5000831,172.8344077
2006-12-17,New Zealand,7.0,Nation,-41.5000831,172.8344077
2006-12-24,New Zealand,15.0,Nation,-41.5000831,172.8344077
2006-12-31,New Zealand,12.0,Nation,-41.5000831,172.8344077
2007-01-07,New Zealand,6.0,Nation,-41.5000831,172.8344077
2007-01-14,New Zealand,7.0,Nation,-41.5000831,172.8344077
2007-01-21,New Zealand,4.0,Nation,-41.5000831,172.8344077
2007-01-28,New Zealand,3.0,Nation,-41.5000831,172.8344077
2007-02-04,New Zealand,4.0,Nation,-41.5000831,172.8344077
2007-02-11,New Zealand,4.0,Nation,-41.5000831,172.8344077
2007-02-18,New Zealand,6.0,Nation,-41.5000831,172.8344077
2007-02-25,New Zealand,7.0,Nation,-41.5000831,172.8344077
2007-03-04,New Zealand,8.0,Nation,-41.5000831,172.8344077
2007-03-11,New Zealand,7.0,Nation,-41.5000831,172.8344077
2007-03-18,New Zealand,8.0,Nation,-41.5000831,172.8344077
2007-03-25,New Zealand,9.0,Nation,-41.5000831,172.8344077
2007-04-01,New Zealand,13.0,Nation,-41.5000831,172.8344077
2007-04-08,New Zealand,13.0,Nation,-41.5000831,172.8344077
2007-04-15,New Zealand,12.0,Nation,-41.5000831,172.8344077
2007-04-22,New Zealand,20.0,Nation,-41.5000831,172.8344077
2007-04-29,New Zealand,19.0,Nation,-41.5000831,172.8344077
2007-05-06,New Zealand,13.0,Nation,-41.5000831,172.8344077
2007-05-13,New Zealand,32.0,Nation,-41.5000831,172.8344077
2007-05-20,New Zealand,17.0,Nation,-41.5000831,172.8344077
2007-05-27,New Zealand,31.0,Nation,-41.5000831,172.8344077
2007-06-03,New Zealand,32.0,Nation,-41.5000831,172.8344077
2007-06-10,New Zealand,29.0,Nation,-41.5000831,172.8344077
2007-06-17,New Zealand,47.0,Nation,-41.5000831,172.8344077
2007-06-24,New Zealand,41.0,Nation,-41.5000831,172.8344077
2007-07-01,New Zealand,57.0,Nation,-41.5000831,172.8344077
2007-07-08,New Zealand,62.0,Nation,-41.5000831,172.8344077
2007-07-15,New Zealand,76.0,Nation,-41.5000831,172.8344077
2007-07-22,New Zealand,75.0,Nation,-41.5000831,172.8344077
2007-07-29,New Zealand,74.0,Nation,-41.5000831,172.8344077
2007-08-05,New Zealand,72.0,Nation,-41.5000831,172.8344077
2007-08-12,New Zealand,87.0,Nation,-41.5000831,172.8344077
2007-08-19,New Zealand,72.0,Nation,-41.5000831,172.8344077
2007-08-26,New Zealand,73.0,Nation,-41.5000831,172.8344077
2007-09-02,New Zealand,62.0,Nation,-41.5000831,172.8344077
2007-09-09,New Zealand,53.0,Nation,-41.5000831,172.8344077
2007-09-16,New Zealand,45.0,Nation,-41.5000831,172.8344077
2007-09-23,New Zealand,32.0,Nation,-41.5000831,172.8344077
2007-09-30,New Zealand,19.0,Nation,-41.5000831,172.8344077
2007-10-07,New Zealand,23.0,Nation,-41.5000831,172.8344077
2007-10-14,New Zealand,22.0,Nation,-41.5000831,172.8344077
2007-10-21,New Zealand,14.0,Nation,-41.5000831,172.8344077
2007-10-28,New Zealand,15.0,Nation,-41.5000831,172.8344077
2007-11-04,New Zealand,11.0,Nation,-41.5000831,172.8344077
2007-11-11,New Zealand,11.0,Nation,-41.5000831,172.8344077
2007-11-18,New Zealand,9.0,Nation,-41.5000831,172.8344077
2007-11-25,New Zealand,7.0,Nation,-41.5000831,172.8344077
2007-12-02,New Zealand,7.0,Nation,-41.5000831,172.8344077
2007-12-09,New Zealand,6.0,Nation,-41.5000831,172.8344077
2007-12-16,New Zealand,9.0,Nation,-41.5000831,172.8344077
2007-12-23,New Zealand,4.0,Nation,-41.5000831,172.8344077
2007-12-30,New Zealand,9.0,Nation,-41.5000831,172.8344077
2008-01-06,New Zealand,10.0,Nation,-41.5000831,172.8344077
2008-01-13,New Zealand,8.0,Nation,-41.5000831,172.8344077
2008-01-20,New Zealand,7.0,Nation,-41.5000831,172.8344077
2008-01-27,New Zealand,10.0,Nation,-41.5000831,172.8344077
2008-02-03,New Zealand,7.0,Nation,-41.5000831,172.8344077
2008-02-10,New Zealand,9.0,Nation,-41.5000831,172.8344077
2008-02-17,New Zealand,16.0,Nation,-41.5000831,172.8344077
2008-02-24,New Zealand,12.0,Nation,-41.5000831,172.8344077
2008-03-02,New Zealand,14.0,Nation,-41.5000831,172.8344077
2008-03-09,New Zealand,16.0,Nation,-41.5000831,172.8344077
2008-03-16,New Zealand,14.0,Nation,-41.5000831,172.8344077
2008-03-23,New Zealand,17.0,Nation,-41.5000831,172.8344077
2008-03-30,New Zealand,17.0,Nation,-41.5000831,172.8344077
2008-04-06,New Zealand,16.0,Nation,-41.5000831,172.8344077
2008-04-13,New Zealand,17.0,Nation,-41.5000831,172.8344077
2008-04-20,New Zealand,17.0,Nation,-41.5000831,172.8344077
2008-04-27,New Zealand,24.0,Nation,-41.5000831,172.8344077
2008-05-04,New Zealand,23.0,Nation,-41.5000831,172.8344077
2008-05-11,New Zealand,20.0,Nation,-41.5000831,172.8344077
2008-05-18,New Zealand,27.0,Nation,-41.5000831,172.8344077
2008-05-25,New Zealand,29.0,Nation,-41.5000831,172.8344077
2008-06-01,New Zealand,32.0,Nation,-41.5000831,172.8344077
2008-06-08,New Zealand,42.0,Nation,-41.5000831,172.8344077
2008-06-15,New Zealand,66.0,Nation,-41.5000831,172.8344077
2008-06-22,New Zealand,54.0,Nation,-41.5000831,172.8344077
2008-06-29,New Zealand,71.0,Nation,-41.5000831,172.8344077
2008-07-06,New Zealand,70.0,Nation,-41.5000831,172.8344077
2008-07-13,New Zealand,78.0,Nation,-41.5000831,172.8344077
2008-07-20,New Zealand,85.0,Nation,-41.5000831,172.8344077
2008-07-27,New Zealand,80.0,Nation,-41.5000831,172.8344077
2008-08-03,New Zealand,111.0,Nation,-41.5000831,172.8344077
2008-08-10,New Zealand,120.0,Nation,-41.5000831,172.8344077
2008-08-17,New Zealand,121.0,Nation,-41.5000831,172.8344077
2008-08-24,New Zealand,102.0,Nation,-41.5000831,172.8344077
2008-08-31,New Zealand,93.0,Nation,-41.5000831,172.8344077
2008-09-07,New Zealand,75.0,Nation,-41.5000831,172.8344077
2008-09-14,New Zealand,57.0,Nation,-41.5000831,172.8344077
2008-09-21,New Zealand,52.0,Nation,-41.5000831,172.8344077
2008-09-28,New Zealand,35.0,Nation,-41.5000831,172.8344077
2008-10-05,New Zealand,22.0,Nation,-41.5000831,172.8344077
2008-10-12,New Zealand,27.0,Nation,-41.5000831,172.8344077
2008-10-19,New Zealand,21.0,Nation,-41.5000831,172.8344077
2008-10-26,New Zealand,19.0,Nation,-41.5000831,172.8344077
2008-11-02,New Zealand,17.0,Nation,-41.5000831,172.8344077
2008-11-09,New Zealand,19.0,Nation,-41.5000831,172.8344077
2008-11-16,New Zealand,15.0,Nation,-41.5000831,172.8344077
2008-11-23,New Zealand,12.0,Nation,-41.5000831,172.8344077
2008-11-30,New Zealand,9.0,Nation,-41.5000831,172.8344077
2008-12-07,New Zealand,13.0,Nation,-41.5000831,172.8344077
2008-12-14,New Zealand,10.0,Nation,-41.5000831,172.8344077
2008-12-21,New Zealand,10.0,Nation,-41.5000831,172.8344077
2008-12-28,New Zealand,15.0,Nation,-41.5000831,172.8344077
2009-01-04,New Zealand,13.0,Nation,-41.5000831,172.8344077
2009-01-11,New Zealand,8.0,Nation,-41.5000831,172.8344077
2009-01-18,New Zealand,6.0,Nation,-41.5000831,172.8344077
2009-01-25,New Zealand,6.0,Nation,-41.5000831,172.8344077
2009-02-01,New Zealand,6.0,Nation,-41.5000831,172.8344077
2009-02-08,New Zealand,6.0,Nation,-41.5000831,172.8344077
2009-02-15,New Zealand,12.0,Nation,-41.5000831,172.8344077
2009-02-22,New Zealand,12.0,Nation,-41.5000831,172.8344077
2009-03-01,New Zealand,14.0,Nation,-41.5000831,172.8344077
2009-03-08,New Zealand,12.0,Nation,-41.5000831,172.8344077
2009-03-15,New Zealand,16.0,Nation,-41.5000831,172.8344077
2009-03-22,New Zealand,18.0,Nation,-41.5000831,172.8344077
2009-03-29,New Zealand,13.0,Nation,-41.5000831,172.8344077
2009-04-05,New Zealand,14.0,Nation,-41.5000831,172.8344077
2009-04-12,New Zealand,15.0,Nation,-41.5000831,172.8344077
2009-04-19,New Zealand,19.0,Nation,-41.5000831,172.8344077
2009-04-26,New Zealand,35.0,Nation,-41.5000831,172.8344077
2009-05-03,New Zealand,31.0,Nation,-41.5000831,172.8344077
2009-05-10,New Zealand,30.0,Nation,-41.5000831,172.8344077
2009-05-17,New Zealand,38.0,Nation,-41.5000831,172.8344077
2009-05-24,New Zealand,42.0,Nation,-41.5000831,172.8344077
2009-05-31,New Zealand,53.0,Nation,-41.5000831,172.8344077
2009-06-07,New Zealand,91.0,Nation,-41.5000831,172.8344077
2009-06-14,New Zealand,139.0,Nation,-41.5000831,172.8344077
2009-06-21,New Zealand,159.0,Nation,-41.5000831,172.8344077
2009-06-28,New Zealand,262.0,Nation,-41.5000831,172.8344077
2009-07-05,New Zealand,266.0,Nation,-41.5000831,172.8344077
2009-07-12,New Zealand,190.0,Nation,-41.5000831,172.8344077
2009-07-19,New Zealand,155.0,Nation,-41.5000831,172.8344077
2009-07-26,New Zealand,120.0,Nation,-41.5000831,172.8344077
2009-08-02,New Zealand,100.0,Nation,-41.5000831,172.8344077
2009-08-09,New Zealand,76.0,Nation,-41.5000831,172.8344077
2009-08-16,New Zealand,64.0,Nation,-41.5000831,172.8344077
2009-08-23,New Zealand,62.0,Nation,-41.5000831,172.8344077
2009-08-30,New Zealand,56.0,Nation,-41.5000831,172.8344077
2009-09-06,New Zealand,48.0,Nation,-41.5000831,172.8344077
2009-09-13,New Zealand,43.0,Nation,-41.5000831,172.8344077
2009-09-20,New Zealand,43.0,Nation,-41.5000831,172.8344077
2009-09-27,New Zealand,39.0,Nation,-41.5000831,172.8344077
2009-10-04,New Zealand,35.0,Nation,-41.5000831,172.8344077
2009-10-11,New Zealand,39.0,Nation,-41.5000831,172.8344077
2009-10-18,New Zealand,38.0,Nation,-41.5000831,172.8344077
2009-10-25,New Zealand,30.0,Nation,-41.5000831,172.8344077
2009-11-01,New Zealand,26.0,Nation,-41.5000831,172.8344077
2009-11-08,New Zealand,22.0,Nation,-41.5000831,172.8344077
2009-11-15,New Zealand,26.0,Nation,-41.5000831,172.8344077
2009-11-22,New Zealand,21.0,Nation,-41.5000831,172.8344077
2009-11-29,New Zealand,17.0,Nation,-41.5000831,172.8344077
2009-12-06,New Zealand,18.0,Nation,-41.5000831,172.8344077
2009-12-13,New Zealand,14.0,Nation,-41.5000831,172.8344077
2009-12-20,New Zealand,12.0,Nation,-41.5000831,172.8344077
2009-12-27,New Zealand,14.0,Nation,-41.5000831,172.8344077
2010-01-03,New Zealand,13.0,Nation,-41.5000831,172.8344077
2010-01-10,New Zealand,9.0,Nation,-41.5000831,172.8344077
2010-01-17,New Zealand,8.0,Nation,-41.5000831,172.8344077
2010-01-24,New Zealand,8.0,Nation,-41.5000831,172.8344077
2010-01-31,New Zealand,11.0,Nation,-41.5000831,172.8344077
2010-02-07,New Zealand,10.0,Nation,-41.5000831,172.8344077
2010-02-14,New Zealand,10.0,Nation,-41.5000831,172.8344077
2010-02-21,New Zealand,12.0,Nation,-41.5000831,172.8344077
2010-02-28,New Zealand,12.0,Nation,-41.5000831,172.8344077
2010-03-07,New Zealand,16.0,Nation,-41.5000831,172.8344077
2010-03-14,New Zealand,15.0,Nation,-41.5000831,172.8344077
2010-03-21,New Zealand,17.0,Nation,-41.5000831,172.8344077
2010-03-28,New Zealand,17.0,Nation,-41.5000831,172.8344077
2010-04-04,New Zealand,12.0,Nation,-41.5000831,172.8344077
2010-04-11,New Zealand,16.0,Nation,-41.5000831,172.8344077
2010-04-18,New Zealand,19.0,Nation,-41.5000831,172.8344077
2010-04-25,New Zealand,19.0,Nation,-41.5000831,172.8344077
2010-05-02,New Zealand,28.0,Nation,-41.5000831,172.8344077
2010-05-09,New Zealand,25.0,Nation,-41.5000831,172.8344077
2010-05-16,New Zealand,20.0,Nation,-41.5000831,172.8344077
2010-05-23,New Zealand,28.0,Nation,-41.5000831,172.8344077
2010-05-30,New Zealand,26.0,Nation,-41.5000831,172.8344077
2010-06-06,New Zealand,37.0,Nation,-41.5000831,172.8344077
2010-06-13,New Zealand,41.0,Nation,-41.5000831,172.8344077
2010-06-20,New Zealand,31.0,Nation,-41.5000831,172.8344077
2010-06-27,New Zealand,45.0,Nation,-41.5000831,172.8344077
2010-07-04,New Zealand,52.0,Nation,-41.5000831,172.8344077
2010-07-11,New Zealand,62.0,Nation,-41.5000831,172.8344077
2010-07-18,New Zealand,81.0,Nation,-41.5000831,172.8344077
2010-07-25,New Zealand,110.0,Nation,-41.5000831,172.8344077
2010-08-01,New Zealand,130.0,Nation,-41.5000831,172.8344077
2010-08-08,New Zealand,123.0,Nation,-41.5000831,172.8344077
2010-08-15,New Zealand,95.0,Nation,-41.5000831,172.8344077
2010-08-22,New Zealand,93.0,Nation,-41.5000831,172.8344077
2010-08-29,New Zealand,65.0,Nation,-41.5000831,172.8344077
2010-09-05,New Zealand,52.0,Nation,-41.5000831,172.8344077
2010-09-12,New Zealand,47.0,Nation,-41.5000831,172.8344077
2010-09-19,New Zealand,39.0,Nation,-41.5000831,172.8344077
2010-09-26,New Zealand,37.0,Nation,-41.5000831,172.8344077
2010-10-03,New Zealand,29.0,Nation,-41.5000831,172.8344077
2010-10-10,New Zealand,32.0,Nation,-41.5000831,172.8344077
2010-10-17,New Zealand,25.0,Nation,-41.5000831,172.8344077
2010-10-24,New Zealand,22.0,Nation,-41.5000831,172.8344077
2010-10-31,New Zealand,23.0,Nation,-41.5000831,172.8344077
2010-11-07,New Zealand,23.0,Nation,-41.5000831,172.8344077
2010-11-14,New Zealand,16.0,Nation,-41.5000831,172.8344077
2010-11-21,New Zealand,16.0,Nation,-41.5000831,172.8344077
2010-11-28,New Zealand,16.0,Nation,-41.5000831,172.8344077
2010-12-05,New Zealand,13.0,Nation,-41.5000831,172.8344077
2010-12-12,New Zealand,11.0,Nation,-41.5000831,172.8344077
2010-12-19,New Zealand,12.0,Nation,-41.5000831,172.8344077
2010-12-26,New Zealand,13.0,Nation,-41.5000831,172.8344077
2011-01-02,New Zealand,9.0,Nation,-41.5000831,172.8344077
2011-01-09,New Zealand,10.0,Nation,-41.5000831,172.8344077
2011-01-16,New Zealand,10.0,Nation,-41.5000831,172.8344077
2011-01-23,New Zealand,9.0,Nation,-41.5000831,172.8344077
2011-01-30,New Zealand,9.0,Nation,-41.5000831,172.8344077
2011-02-06,New Zealand,10.0,Nation,-41.5000831,172.8344077
2011-02-13,New Zealand,11.0,Nation,-41.5000831,172.8344077
2011-02-20,New Zealand,9.0,Nation,-41.5000831,172.8344077
2011-02-27,New Zealand,14.0,Nation,-41.5000831,172.8344077
2011-03-06,New Zealand,14.0,Nation,-41.5000831,172.8344077
2011-03-13,New Zealand,19.0,Nation,-41.5000831,172.8344077
2011-03-20,New Zealand,14.0,Nation,-41.5000831,172.8344077
2011-03-27,New Zealand,17.0,Nation,-41.5000831,172.8344077
2011-04-03,New Zealand,18.0,Nation,-41.5000831,172.8344077
2011-04-10,New Zealand,16.0,Nation,-41.5000831,172.8344077
2011-04-17,New Zealand,19.0,Nation,-41.5000831,172.8344077
2011-04-24,New Zealand,18.0,Nation,-41.5000831,172.8344077
2011-05-01,New Zealand,22.0,Nation,-41.5000831,172.8344077
2011-05-08,New Zealand,23.0,Nation,-41.5000831,172.8344077
2011-05-15,New Zealand,24.0,Nation,-41.5000831,172.8344077
2011-05-22,New Zealand,28.0,Nation,-41.5000831,172.8344077
2011-05-29,New Zealand,34.0,Nation,-41.5000831,172.8344077
2011-06-05,New Zealand,45.0,Nation,-41.5000831,172.8344077
2011-06-12,New Zealand,42.0,Nation,-41.5000831,172.8344077
2011-06-19,New Zealand,46.0,Nation,-41.5000831,172.8344077
2011-06-26,New Zealand,51.0,Nation,-41.5000831,172.8344077
2011-07-03,New Zealand,60.0,Nation,-41.5000831,172.8344077
2011-07-10,New Zealand,71.0,Nation,-41.5000831,172.8344077
2011-07-17,New Zealand,65.0,Nation,-41.5000831,172.8344077
2011-07-24,New Zealand,68.0,Nation,-41.5000831,172.8344077
2011-07-31,New Zealand,76.0,Nation,-41.5000831,172.8344077
2011-08-07,New Zealand,65.0,Nation,-41.5000831,172.8344077
2011-08-14,New Zealand,62.0,Nation,-41.5000831,172.8344077
2011-08-21,New Zealand,82.0,Nation,-41.5000831,172.8344077
2011-08-28,New Zealand,69.0,Nation,-41.5000831,172.8344077
2011-09-04,New Zealand,57.0,Nation,-41.5000831,172.8344077
2011-09-11,New Zealand,45.0,Nation,-41.5000831,172.8344077
2011-09-18,New Zealand,52.0,Nation,-41.5000831,172.8344077
2011-09-25,New Zealand,65.0,Nation,-41.5000831,172.8344077
2011-10-02,New Zealand,50.0,Nation,-41.5000831,172.8344077
2011-10-09,New Zealand,36.0,Nation,-41.5000831,172.8344077
2011-10-16,New Zealand,34.0,Nation,-41.5000831,172.8344077
2011-10-23,New Zealand,25.0,Nation,-41.5000831,172.8344077
2011-10-30,New Zealand,24.0,Nation,-41.5000831,172.8344077
2011-11-06,New Zealand,20.0,Nation,-41.5000831,172.8344077
2011-11-13,New Zealand,15.0,Nation,-41.5000831,172.8344077
2011-11-20,New Zealand,17.0,Nation,-41.5000831,172.8344077
2011-11-27,New Zealand,18.0,Nation,-41.5000831,172.8344077
2011-12-04,New Zealand,12.0,Nation,-41.5000831,172.8344077
2011-12-11,New Zealand,12.0,Nation,-41.5000831,172.8344077
2011-12-18,New Zealand,15.0,Nation,-41.5000831,172.8344077
2011-12-25,New Zealand,18.0,Nation,-41.5000831,172.8344077
2012-01-01,New Zealand,14.0,Nation,-41.5000831,172.8344077
2012-01-08,New Zealand,11.0,Nation,-41.5000831,172.8344077
2012-01-15,New Zealand,10.0,Nation,-41.5000831,172.8344077
2012-01-22,New Zealand,10.0,Nation,-41.5000831,172.8344077
2012-01-29,New Zealand,10.0,Nation,-41.5000831,172.8344077
2012-02-05,New Zealand,11.0,Nation,-41.5000831,172.8344077
2012-02-12,New Zealand,10.0,Nation,-41.5000831,172.8344077
2012-02-19,New Zealand,13.0,Nation,-41.5000831,172.8344077
2012-02-26,New Zealand,16.0,Nation,-41.5000831,172.8344077
2012-03-04,New Zealand,18.0,Nation,-41.5000831,172.8344077
2012-03-11,New Zealand,17.0,Nation,-41.5000831,172.8344077
2012-03-18,New Zealand,21.0,Nation,-41.5000831,172.8344077
2012-03-25,New Zealand,17.0,Nation,-41.5000831,172.8344077
2012-04-01,New Zealand,20.0,Nation,-41.5000831,172.8344077
2012-04-08,New Zealand,21.0,Nation,-41.5000831,172.8344077
2012-04-15,New Zealand,22.0,Nation,-41.5000831,172.8344077
2012-04-22,New Zealand,21.0,Nation,-41.5000831,172.8344077
2012-04-29,New Zealand,23.0,Nation,-41.5000831,172.8344077
2012-05-06,New Zealand,27.0,Nation,-41.5000831,172.8344077
2012-05-13,New Zealand,28.0,Nation,-41.5000831,172.8344077
2012-05-20,New Zealand,37.0,Nation,-41.5000831,172.8344077
2012-05-27,New Zealand,46.0,Nation,-41.5000831,172.8344077
2012-06-03,New Zealand,47.0,Nation,-41.5000831,172.8344077
2012-06-10,New Zealand,62.0,Nation,-41.5000831,172.8344077
2012-06-17,New Zealand,61.0,Nation,-41.5000831,172.8344077
2012-06-24,New Zealand,81.0,Nation,-41.5000831,172.8344077
2012-07-01,New Zealand,92.0,Nation,-41.5000831,172.8344077
2012-07-08,New Zealand,129.0,Nation,-41.5000831,172.8344077
2012-07-15,New Zealand,132.0,Nation,-41.5000831,172.8344077
2012-07-22,New Zealand,136.0,Nation,-41.5000831,172.8344077
2012-07-29,New Zealand,148.0,Nation,-41.5000831,172.8344077
2012-08-05,New Zealand,130.0,Nation,-41.5000831,172.8344077
2012-08-12,New Zealand,110.0,Nation,-41.5000831,172.8344077
2012-08-19,New Zealand,105.0,Nation,-41.5000831,172.8344077
2012-08-26,New Zealand,101.0,Nation,-41.5000831,172.8344077
2012-09-02,New Zealand,95.0,Nation,-41.5000831,172.8344077
2012-09-09,New Zealand,64.0,Nation,-41.5000831,172.8344077
2012-09-16,New Zealand,65.0,Nation,-41.5000831,172.8344077
2012-09-23,New Zealand,57.0,Nation,-41.5000831,172.8344077
2012-09-30,New Zealand,42.0,Nation,-41.5000831,172.8344077
2012-10-07,New Zealand,40.0,Nation,-41.5000831,172.8344077
2012-10-14,New Zealand,35.0,Nation,-41.5000831,172.8344077
2012-10-21,New Zealand,30.0,Nation,-41.5000831,172.8344077
2012-10-28,New Zealand,24.0,Nation,-41.5000831,172.8344077
2012-11-04,New Zealand,20.0,Nation,-41.5000831,172.8344077
2012-11-11,New Zealand,21.0,Nation,-41.5000831,172.8344077
2012-11-18,New Zealand,25.0,Nation,-41.5000831,172.8344077
2012-11-25,New Zealand,21.0,Nation,-41.5000831,172.8344077
2012-12-02,New Zealand,19.0,Nation,-41.5000831,172.8344077
2012-12-09,New Zealand,15.0,Nation,-41.5000831,172.8344077
2012-12-16,New Zealand,14.0,Nation,-41.5000831,172.8344077
2012-12-23,New Zealand,12.0,Nation,-41.5000831,172.8344077
2012-12-30,New Zealand,17.0,Nation,-41.5000831,172.8344077
2013-01-06,New Zealand,13.0,Nation,-41.5000831,172.8344077
2013-01-13,New Zealand,12.0,Nation,-41.5000831,172.8344077
2013-01-20,New Zealand,10.0,Nation,-41.5000831,172.8344077
2013-01-27,New Zealand,12.0,Nation,-41.5000831,172.8344077
2013-02-03,New Zealand,10.0,Nation,-41.5000831,172.8344077
2013-02-10,New Zealand,13.0,Nation,-41.5000831,172.8344077
2013-02-17,New Zealand,17.0,Nation,-41.5000831,172.8344077
2013-02-24,New Zealand,19.0,Nation,-41.5000831,172.8344077
2013-03-03,New Zealand,21.0,Nation,-41.5000831,172.8344077
2013-03-10,New Zealand,21.0,Nation,-41.5000831,172.8344077
2013-03-17,New Zealand,18.0,Nation,-41.5000831,172.8344077
2013-03-24,New Zealand,18.0,Nation,-41.5000831,172.8344077
2013-03-31,New Zealand,21.0,Nation,-41.5000831,172.8344077
2013-04-07,New Zealand,27.0,Nation,-41.5000831,172.8344077
2013-04-14,New Zealand,25.0,Nation,-41.5000831,172.8344077
2013-04-21,New Zealand,23.0,Nation,-41.5000831,172.8344077
2013-04-28,New Zealand,23.0,Nation,-41.5000831,172.8344077
2013-05-05,New Zealand,22.0,Nation,-41.5000831,172.8344077
2013-05-12,New Zealand,32.0,Nation,-41.5000831,172.8344077
2013-05-19,New Zealand,32.0,Nation,-41.5000831,172.8344077
2013-05-26,New Zealand,42.0,Nation,-41.5000831,172.8344077
2013-06-02,New Zealand,48.0,Nation,-41.5000831,172.8344077
2013-06-09,New Zealand,52.0,Nation,-41.5000831,172.8344077
2013-06-16,New Zealand,46.0,Nation,-41.5000831,172.8344077
2013-06-23,New Zealand,63.0,Nation,-41.5000831,172.8344077
2013-06-30,New Zealand,71.0,Nation,-41.5000831,172.8344077
2013-07-07,New Zealand,73.0,Nation,-41.5000831,172.8344077
2013-07-14,New Zealand,76.0,Nation,-41.5000831,172.8344077
2013-07-21,New Zealand,76.0,Nation,-41.5000831,172.8344077
2013-07-28,New Zealand,93.0,Nation,-41.5000831,172.8344077
2013-08-04,New Zealand,91.0,Nation,-41.5000831,172.8344077
2013-08-11,New Zealand,94.0,Nation,-41.5000831,172.8344077
2013-08-18,New Zealand,86.0,Nation,-41.5000831,172.8344077
2013-08-25,New Zealand,103.0,Nation,-41.5000831,172.8344077
2013-09-01,New Zealand,123.0,Nation,-41.5000831,172.8344077
